_id,trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
83,6785010,12,37,Northwest Berkeley,"",1,12006,shp-12-05,0,0
84,8874020,12,11,Northwest Berkeley,"",1,12002,shp-12-05,0,0
85,1684070,12,52,Northwest Berkeley,"",1,12003,shp-12-05,0,0
86,8799020,12,11,Northwest Berkeley,"",1,12003,shp-12-05,0,0
87,6551020,12,11,Northwest Berkeley,"",1,12005,shp-12-05,0,0
88,10950010,12,37,Northwest Berkeley,"",1,12006,shp-12-05,0,0
89,7234070,12,52,Northwest Berkeley,"",1,12002,shp-12-05,0,0
90,6680010,12,37,Northwest Berkeley,"",1,12003,shp-12-05,0,0
91,6098020,12,11,Northwest Berkeley,"",1,802001,shp-12-05,0,0
92,2545020,12,11,Northwest Berkeley,"",1,12006,shp-12-05,0,0
93,10030070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
94,13810070,12,52,Northwest Berkeley,"",1,12004,shp-12-05,0,0
95,5623020,12,11,Northwest Berkeley,"",1,12001,shp-12-05,0,0
96,11653160,12,41,Northwest Berkeley,"",1,12009,shp-12-05,0,0
97,2223010,12,37,Northwest Berkeley,"",1,12006,shp-12-05,0,0
98,8437020,12,11,Northwest Berkeley,"",1,12005,shp-12-05,0,0
99,12380010,12,37,Northwest Berkeley,"",1,12003,shp-12-05,0,0
100,9221010,12,37,Northwest Berkeley,"",1,12001,shp-12-05,0,0
101,3920070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
102,14012070,12,52,Northwest Berkeley,"",1,12005,shp-12-05,0,0
103,8228020,12,11,Northwest Berkeley,"",1,12001,shp-12-05,0,0
104,9391010,12,37,Northwest Berkeley,"",1,12005,shp-12-05,0,0
105,7653010,12,37,Northwest Berkeley,"",1,12004,shp-12-05,0,0
106,13388070,12,52,Northwest Berkeley,"",1,851002,shp-12-05,0,0
107,2647070,12,52,Northwest Berkeley,"",1,12004,shp-12-05,0,0
108,11785020,12,11,Northwest Berkeley,"",1,12006,shp-12-05,0,0
109,3358020,12,11,Northwest Berkeley,"",1,12005,shp-12-05,0,0
110,7708020,12,11,Northwest Berkeley,"",1,12004,shp-12-05,0,0
111,10026010,12,37,Northwest Berkeley,"",1,12005,shp-12-05,0,0
112,2919010,12,37,Northwest Berkeley,"",1,12004,shp-12-05,0,0
113,3398070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
114,9875010,12,37,Northwest Berkeley,"",1,12005,shp-12-05,0,0
115,12542020,12,11,Northwest Berkeley,"",1,12002,shp-12-05,0,0
116,6669160,12,41,Northwest Berkeley,"",1,12009,shp-12-05,0,0
117,1083020,12,11,Northwest Berkeley,"",1,12008,shp-12-05,0,0
118,12723070,12,52,Northwest Berkeley,"",1,12004,shp-12-05,0,0
119,13375070,12,52,Northwest Berkeley,"",1,12003,shp-12-05,0,0
120,6175070,12,52,Northwest Berkeley,"",1,12006,shp-12-05,0,0
121,4870010,12,37,Northwest Berkeley,"",1,12002,shp-12-05,0,0
122,6986010,12,37,Northwest Berkeley,"",1,12003,shp-12-05,0,0
123,11420070,12,52,Northwest Berkeley,"",1,12001,shp-12-05,0,0
124,7189160,12,41,Northwest Berkeley,"",1,12009,shp-12-05,0,0
125,1960070,12,52,Northwest Berkeley,"",1,12002,shp-12-05,0,0
126,10786010,12,37,Northwest Berkeley,"",1,12001,shp-12-05,0,0
127,6532020,12,11,Northwest Berkeley,"",1,12008,shp-12-05,0,0
128,10494070,12,52,Northwest Berkeley,"",1,12002,shp-12-05,0,0
129,4831020,12,11,Northwest Berkeley,"",1,12007,shp-12-05,0,0
130,3303010,12,37,Northwest Berkeley,"",1,12005,shp-12-05,0,0
131,6942020,12,11,Northwest Berkeley,"",1,12006,shp-12-05,0,0
132,13844020,12,11,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
133,797160,12,41,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
134,1460070,12,52,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
135,8937070,12,52,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
136,4347010,12,37,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
137,7203020,12,11,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
138,13298070,12,52,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
139,761010,12,37,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
140,13509010,12,37,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
141,2712010,12,37,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
142,6279010,12,37,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
143,64020,12,2,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
144,119070,12,52,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
145,2486020,12,11,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
146,8310070,12,52,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
147,672070,12,52,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
148,1631010,12,37,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
149,9761020,12,11,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
150,6560070,12,52,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
151,3918020,12,11,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
152,3357010,12,37,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
153,5652010,12,37,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
154,2888010,12,37,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
